cwe,file,vul
CWE226,CWE226_Sensitive_Information_Uncleared_Before_Release/CWE226_Sensitive_Information_Uncleared_Before_Release__basic_15_pos.java,0
CWE226,CWE226_Sensitive_Information_Uncleared_Before_Release/CWE226_Sensitive_Information_Uncleared_Before_Release__basic_03_pos.java,0
CWE226,CWE226_Sensitive_Information_Uncleared_Before_Release/CWE226_Sensitive_Information_Uncleared_Before_Release__basic_02_pos.java,0
CWE226,CWE226_Sensitive_Information_Uncleared_Before_Release/CWE226_Sensitive_Information_Uncleared_Before_Release__basic_14_pos.java,0
CWE226,CWE226_Sensitive_Information_Uncleared_Before_Release/CWE226_Sensitive_Information_Uncleared_Before_Release__basic_09_pos.java,0
CWE226,CWE226_Sensitive_Information_Uncleared_Before_Release/CWE226_Sensitive_Information_Uncleared_Before_Release__basic_13_pos.java,0
CWE226,CWE226_Sensitive_Information_Uncleared_Before_Release/CWE226_Sensitive_Information_Uncleared_Before_Release__basic_05_pos.java,0
CWE226,CWE226_Sensitive_Information_Uncleared_Before_Release/CWE226_Sensitive_Information_Uncleared_Before_Release__basic_04_pos.java,0
CWE226,CWE226_Sensitive_Information_Uncleared_Before_Release/CWE226_Sensitive_Information_Uncleared_Before_Release__basic_12_pos.java,0
CWE226,CWE226_Sensitive_Information_Uncleared_Before_Release/CWE226_Sensitive_Information_Uncleared_Before_Release__basic_08_pos.java,0
CWE226,CWE226_Sensitive_Information_Uncleared_Before_Release/CWE226_Sensitive_Information_Uncleared_Before_Release__basic_07_pos.java,0
CWE226,CWE226_Sensitive_Information_Uncleared_Before_Release/CWE226_Sensitive_Information_Uncleared_Before_Release__basic_11_pos.java,0
CWE226,CWE226_Sensitive_Information_Uncleared_Before_Release/CWE226_Sensitive_Information_Uncleared_Before_Release__basic_10_pos.java,0
CWE226,CWE226_Sensitive_Information_Uncleared_Before_Release/CWE226_Sensitive_Information_Uncleared_Before_Release__basic_06_pos.java,0
CWE226,CWE226_Sensitive_Information_Uncleared_Before_Release/CWE226_Sensitive_Information_Uncleared_Before_Release__basic_01_pos.java,0
CWE226,CWE226_Sensitive_Information_Uncleared_Before_Release/CWE226_Sensitive_Information_Uncleared_Before_Release__basic_17_pos.java,0
CWE226,CWE226_Sensitive_Information_Uncleared_Before_Release/CWE226_Sensitive_Information_Uncleared_Before_Release__basic_16_pos.java,0
CWE397,CWE397_Throw_Generic/CWE397_Throw_Generic__throw_Exception_01_pos.java,0
CWE397,CWE397_Throw_Generic/CWE397_Throw_Generic__declare_Exception_01_pos.java,0
CWE397,CWE397_Throw_Generic/CWE397_Throw_Generic__throw_Throwable_01_pos.java,0
CWE397,CWE397_Throw_Generic/CWE397_Throw_Generic__declare_Throwable_01_pos.java,0
CWE338,CWE338_Weak_PRNG/CWE338_Weak_PRNG__util_09_pos.java,0
CWE338,CWE338_Weak_PRNG/CWE338_Weak_PRNG__math_17_pos.java,0
